ID	TARGET	TEXT
29	IphoneSE	黄屏用段时间就消很多了，CPU摄像头都和6S基本一样。除了屏幕，3D touch。前摄像头。比当年5C好多了，用三年前的零件，iPhone有史以来最性价比的就是iPhone SE。
30	IphoneSE	一直纠结要买16还是64的，看了你的，果断入手64
31	IphoneSE	明天就是愚人节了 大家能不能玩点有些技术含量的 例如给我充话费让我猜猜谁充的 给我寄一箱好吃的让我猜猜谁给的 把iphone se 放在我口袋里让我猜猜谁干的 拿一摞大钞扔我让我猜猜谁砸的 这些都是可以的 年轻人不要老是一成不变的套路 要有创新精神 明天我不希望看到你们毫无长进
32	IphoneSE	iphone SE，4寸王者，没有之一！
33	IphoneSE	最强备用，单手好用。
34	IphoneSE	虽零件与旧机型相同但 iPhone SE 利润不高：尽管外界认为苹果最新发布的 iPhone SE 多数零部件来自旧款 iPhone，但有分析师认为，iPhone SE 的利润率和 iPhone 6s 一样相对较低。http://t.cn/Rq2o6eL
35	IphoneSE	快一个月没现货我找谁去，联通合约等不到天黑
36	IphoneSE	要依靠中国?iPhone SE激不起美国人购买欲：已经习惯使用4.7英寸或更大尺寸的手机，也许真的很难再退回来了。http://t.cn/RqvwevA
37	IphoneSE	傳言這次iphone會取消home鍵，莫非要採用虛擬按鍵，那下面那排空白的地方該不會要塞一個蘋果的logo吧，雖然這次se低價手機蠻成功的，但是iphone 7如果沒有端出新創意願意買單的應該很少吧。
38	IphoneSE	个人感觉iPhone SE的续航能跟iPhone 6sp有一拼呀，下午很有兴趣想出去测一下
39	IphoneSE	微博第一个送20台iPhone SE！只要关注淘宝唯一的五金冠情趣店（连续6年销量第一）醉清风的创始人 @醉清风老杨 @趣女郎 @醉清风的情趣世界 。转发此微博并at3个好友。4月16日用@微博抽奖平台   ，抽出20个懂生活有情调的人，每人送1台iPhone SE！
40	IphoneSE	我买的是港行 觉得有渠道买港行的 都不会选国行吧 而且我相信香港数据里的很多应该都是水客买的
41	IphoneSE	【史上最贵的iPhone SE闪瞎眼：500000元】奢侈品定制厂商Grisogono贴心的送上了服务，其重新定制了iPhone SE，起售价为1500英镑(约人民币13780元)，整个机身采用了24K镀金。还有更贵的，机身采用18K纯金，同时边框镶嵌了总计5.5克拉的钻石，售价约人民币50万元，应该是目前最贵的iPhone SE了吧。
42	IphoneSE	【苹果推出iPhone SE 抢夺中端市场】3月22日，在一场被网友吐槽毫无亮点的发布会上，苹果正式发布了iPhone SE。这款披着iPhone 5S外壳却拥有iPhone 6S性能的手机肩负的使命显然就是抢占中端市场，而最受冲击的恐怕就是正在努力冲击中高端市场的国产手机厂商。iPhone SE 16GB版本售价人民币3288元，64GB
43	IphoneSE	【苹果发布iPhone SE 酷似iPhone 5s】苹果今晨发布iPhone SE，外型酷似5s，性能翻倍；4英寸屏幕搭载A9处理器，后置1200万像素摄像头，支持Live Photos与Apple Pay，不支持3D Touch；3月24日开始预订，3月31日正式开售，中国首发！16GB和64GB国行售价分别为3288元和4088元。http://t.cn/RGk5TBS
44	IphoneSE	为什么苹果的trade in选项没有iPhone 6 trade in for iPhone SE？…默认是降级了么？…可是我这破手机在国内就是一块砖啊
45	IphoneSE	【不仅发布新机 苹果今晚还悄悄上架了几款新配件】在刚刚结束的发布会中，苹果发布了四英寸新机 iPhone SE 和 9.7 英寸的 iPad Pro。但在发布会结束之后，苹果官方商店上架了一些在发布会中没有提到的新配件。如果你对两款新机没有太大兴趣，不妨看看这些新款配件。http://t.cn/RGkai9H
46	IphoneSE	你以为iPhone SE卖便宜 它就挣得少了吗？：iPhone SE 并不像外界说的那样，因为售价便宜，因此利润率大幅降低。http://t.cn/RqUaOGF
47	IphoneSE	把iPhone SE喊成5se或6se的能稍微了解一下科技新闻吗…
48	IphoneSE	用 iOS 看不起 Android 就算了，明知道手机不好用天天骂，不早点换个称手的，不喜欢 iPhone 么，se 不贵啊去买啊，KOL 了不起死了一样。
49	IphoneSE	看着iphone SE和5S的几乎一模一样的外形，真心无法分辨它们。当然希望商人们还没有那些奸商来干改装的缺德事。不过，我想苹果官网肯定是正宗的卖家。
50	IphoneSE	在大屏时代，小屏手机还有需求吗？这是很多人疑惑的，但事实上，大屏时代后很多人反而想有一款能单手操作，方面携带的小屏手机。4寸iPhone SE 发货已经变更为“2-3 周”。在许多国家都开始大缺货。安卓阵营里，可以说这次努比亚紧跟需求，快速推出nubia Z11 mini满足消费者需求。http://t.cn/RqCP5q0
51	IphoneSE	极客头条：没有 Home 键的 iPhone 7，你能接受吗；Facebook 新总部将因为全球变暖而消失；中国壕老板又外出收编足球队了；小屏 iPhone SE 销量差：中国居然是最惨的?特斯拉也要用上三星摄像头了？
52	IphoneSE	【【视频直播】iPhone SE & 9.7 英寸 iPad Pro 上手】全国最快的 iPhone SE 和 9.7 英寸 iPad Pro 开箱上手直播来啦。 http://t.cn/RqzAwv5
53	IphoneSE	来自IHS的数据显示，iPhone 6s Plus的制造成本为236美元，和iPhone SE相比增加了48%，然而这款大屏手机的定价高达749美元。从性价比角度分析，iPhone 6s Plus手机比iPhone SE价格高出了350美元，虽然制造成本只增加了48%，但是消费者却接受了88%的溢价。http://t.cn/RqfUIz6
54	IphoneSE	我就是非常喜欢iPhoneSE
55	IphoneSE	美国CNBC网站周一援引中国零售商的数据称，苹果公司4英寸新机iPhone SE中国市场预订量已突破340万部。如果中国市场的预订量准确，这可能意味着业界对iPhone SE的期望值过低。因为华尔街之前曾预计，iPhone SE今年全球销量也只有1000万部至1500万部。http://t.cn/RqzRGJL
56	IphoneSE	【你是那百分之几？】苹果发布数据，截至4月18日，iOS9的使用率为84%，剩下的11%为iOS8，还有5%为更早版本！苹果认为，iOS9能达到84%的使用率，两大功臣是iPhone SE和9.7寸的iPad。另外，6月13日举行的全球开发者大会，苹果有可能发布iOS10，并将在9月发布的iPhone 7上运行！
57	IphoneSE	Iphone 5s现在真的好便宜啊…所以我是买5s还是SE呢…（SE不支持4G+）
58	IphoneSE	而且5s出了这么几年了，到se，制造工艺的进步和组装链的越加成熟，我不太相信se会出这种连5s都没有的问题
59	IphoneSE	最新款iphone SE ！！！16g粉3310、16g金3300、16g白3310、64g粉4020、64g金4080、64g白4220、64g灰4150。
60	IphoneSE	【iPhone SE，“国产机的噩梦来了”】①iPhone SE号称“史上最强大”4英寸iPhone，有着5系列的尺寸，CPU是5s的两倍，GPU是5s的三倍；②史上最便宜的iPhone：中国区售价为3288元（16G），4088元（64G）；③iPad Pro变小④在苹果支付、首发地区、环保节能、用户习惯等方面，苹果都为中国所想。
61	IphoneSE	就随便问问，谁看到iphone SE跟主页君一样第一反应是iphone SQUARE ENIX的
62	IphoneSE	【苹果发布4寸iPhone SE 小米高管神吐槽】iPhone SE正式亮相，有人认为是一款诚意之作，有人认为，换汤不换药，简直就是应付。对于这样的做法，小米生态链规划总监孙鹏表示，iPhone SE估计是和一汽大众学的，把速腾的1.4T发动机装到老款车型捷达里面，主要是神车标值钱。。。（快科技）
63	IphoneSE	【苹果iPhone SE即将登陆印度：价格略感人】苹果近日已经向印度媒体证实，iPhone SE将于“4月初”登陆印度市场，其起售价为39000印度卢比，约为3802元人民币。如果以官方角度来看，这个价格比iPhone SE的中国内地版要贵600元。……详情点击：http://t.cn/Rq716eS
64	IphoneSE	终于等到配置足够又不大的手机了，iphone se，长着iphone5的身体和iphone6的脑子，深空灰，棕色钱包套，一眼秒中。当选择综合症遭遇独一无二，感觉真happy～4.24，生日快乐。谢谢某人，现在还总想着关心我。 http://t.cn/zlAjsuH
65	IphoneSE	【苹果发布4寸iPhone SE，小米高管神吐槽！】iPhone SE的到来，一部分人认为这是一款诚意之作，还有一部分人认为，苹果换汤不换药，简直就是应付。对此，小米生态链规划总监的孙鹏今日在微博上表示：iPhone SE估计是和一汽大众学的，把速腾的1.4T发动机装到老款车型捷达里面，主要是神车标值钱..
66	IphoneSE	为什么4英寸iPhone SE上不支持3D Touch？：iPhone SE上没有3D Touch你会觉得这是一个遗憾吗？http://t.cn/RqPEEcc
67	IphoneSE	镶颗钻石直接卖两万，真笨死了苹果。不懂中国人买苹果的心理 //【根本没人买！iPhone SE首周销量倒数第一】 http://t.cn/Rq4PeGl（分享自 @一点资讯）
68	IphoneSE	市研机构 Localytics 刚刚公布了上市三周后 iPhone SE 在不同国家的销售情况。苹果这款 4 英寸旗舰机在英国、法国等欧洲国家表现最好，采用率达到 1%，而在中国市场只有 0.2% 的采用率。但抛开地区之间的差异，iPhone SE 只是小屏玩家的旗舰，而不是大众用户的旗舰。
69	IphoneSE	跟邻居们讨论，发现大多数人现在认可且也在用华为～最让人称齐的是，那么多人有一个用锤子手机～//新浪网友:不是他经理差，人家拿钱的，昧着良心发帖的//【小屏iPhone SE销量差:中国居然是最惨的?】
70	IphoneSE	中国人买苹果要的是什么东西。se并不是他们要的。只要苹果的外观跟其他型号不一样，价格够高。就一定会有市场。外观必须不一样，价格一定要高大上。
71	IphoneSE	【苹果发布iPhone SE 酷似iPhone 5s】今晨苹果发布新品：1.发布iPhone SE，外型酷似5s；4英寸屏幕搭载A9处理器，后置1200万像素摄像头；3月24日开始预订，首发地区包含中国大陆，16GB国行售价3288元。2. 发布9.7英寸iPad Pro。3.Apple Watch售价降至2288元。4.发布iOS9.3:增加护眼模式，备忘录可加密。
72	IphoneSE	【披着5s外衣的6s：苹果iPhone SE首发拆解揭秘內“芯”】3月31日，苹果春季三大新品iPhone SE、9.7英寸iPad Pro以及全新表带款Apple Watch全面开卖。现在，Chipworks也拿到了iPhone SE，并为我们带来了首发拆解，一起来从芯片角度看看它和iPhone6s到底是什么关系……详情点击：http://t.cn/RqwQybZ
73	IphoneSE	今天在恒隆感受了一下SE 唯一的想法是 iPhone5的手机壳又有销路了 还有就是专卖店的手机壳三百多块钱 但是手感好棒颜色也美 心动却没钱
74	IphoneSE	我们用了一种更便宜的材料做出了一些表带卖给你们，我们又用了一下之前卖不出去的iphone5s做了一些iPhone SE卖给你们。后来我们又用了ipad ari2,做了一些iPad pro2卖给你们。发布会结束了，谢谢光临参与了。
75	IphoneSE	捷信，就是任性！别人在诽谤！我们任性送！奉上干货！4.15至6.15日期间凡办理捷信分期的客户，成功登录APP.即可有机会抽取iphone se一部！1607部，说不定就有你哦，你来或不来，他就在这里，不远不近！
76	IphoneSE	当今世界瞬息万变,手机系多数人类的重要随身工具,我一贯执着认为小型化的手机才是最好的,这一见解没有变化;原先我一度认定iphone5s是当今世界上最好用的手机,当iphone6后续手机诞生后,在手机的选择上我感觉了少有的唏嘘孤单!也许这般祈愿的微弱声音被听见了iphone.se诞生了,…新手机新开始,
77	IphoneSE	买了iPhone SE 你是否会跳过iPhone 7升级?：对于很多人来说，iPhone SE却是“最好”的选择。http://t.cn/RqpqJHc
78	IphoneSE	想知道就我一个人把iphone se 读成iphone色吗？【se】
79	IphoneSE	瞒了一个月，周末给父母个小惊喜。给妈妈换了一台64G的iPhone SE，所有老手机的数据合并导入，满足爱拍照和录视频的妈妈～给爸爸换了一台我用来当做测试机的坚果。锤子系统各功能的操作流程极简，很适合没用过智能手机的爸爸，设置两侧物理按键开关手电筒这样的细节，只有在教父母时才知道到底有多暖。
80	IphoneSE	网易网友:『我能把小编打骨折，是不是小编骨头太脆了？』 分享网易跟贴:《掰弯iPhone SE终究还是来了》 http://t.cn/RqLwYpc @网易新闻客户端 #我在看新闻#
81	IphoneSE	新买的iPhone SE 有Live photo功能，好神奇啊~~
82	IphoneSE	【推出了 iPhone SE 的苹果发布会，你还满意吗？| 一周范评】这周，你被苹果发布会和新 iPhone 刷屏了吗？ http://t.cn/Rq7CPER
83	IphoneSE	老夫认为se3年一更 好吧
84	IphoneSE	Viva折叠扬声器是由Jang se-chan设计，灵感源于折纸。打开时是一个立方体，通过蓝牙可与iPhone及Android手机相连，音乐从四面发出，高品质低音，创造一个不错的环绕声系统。简单的反扭一下，即能将它折叠成薄薄的卡片状，放入口袋轻松携带。
85	IphoneSE	【分析师郭明池看衰苹果 iPhone今年出货低于2亿部】据外媒报道，凯基证券分析师郭明池发布报告称，苹果今年的iPhone出货量很可能将降至2亿部以下。iPhone 6s需求低于预期，iPhone SE发售疲软，这些都是影响iPhone出货量的重要因素。http://t.cn/RqUccNo 你们怎么看？
86	IphoneSE	【新芯旧颜，iPhone SE 与 iPhone 5s 对比】@Wong_Deshawn ：如果你为了看看我对 iPhone SE 的评价，值不值得买它？我会直截了当地说：如果你有小尺寸手机情节，它是你能买到最好的小尺寸手机，也是最值得 iPhone 手机。但如果你是大尺寸手机狂热爱好者...更多内容：http://t.cn/RqA7c4q
87	IphoneSE	【苹果发布iPhone SE 酷似iPhone 5s】苹果今晨发布4英寸iPhone SE，外型酷似5s；A9处理器，后置1200万像素摄像头，支持Live Photos与Apple Pay，不支持3D Touch；3月24日开始预订，3月31日正式开售，16GB和64GB国行售价分别为3288元和4088元。iphone新品如何？你会买吗？http://t.cn/RGkXSDq
88	IphoneSE	【肉搏苹果iPhone SE，魅族PRO 6售价曝光】虽然我们从黄章口中得知，魅蓝Note3将打响魅族2016年的第一枪，但近来传闻最多的似乎是其旗舰机型PRO 6。继处理器跑分和规格参数之后，魅族PRO 6的售价也在今天下午被曝光……详情点击：http://t.cn/RGFZzp5
89	IphoneSE	苹果在推出4英寸iPhone SE后，并没有拯救iPhone销量下滑的趋势，更有分析师表示这一趋势或将要到苹果下一代产品iPhone 7/7 Plus的发布才有望回升。
90	IphoneSE	【国行眼红：日版iPhone全线大降价！】据日本科技博客Macotakara报道，苹果已经在日本全线下调了iPhone的售价，包括iPhone 6/6s/SE系列各个容量版本，而降价幅度基本在10％左右，而且容量越大降幅越大。最新的iPhone SE 16GB，国行版为3288元，日版降价后只要2790元，比国行便宜足足15％。
91	IphoneSE	废寝忘食忙活了一个礼拜的小苹果iPhone SE试用报告已出炉，求各位支持！ iPhone SE万字试用报告——小身材有大力量 
92	IphoneSE	到手一周 感觉挺好 轻微黄屏 不介意屏幕大小 可以入手
93	IphoneSE	苹果iPhone SE最近传出市场反应热络，使得下半年将推出的iPhone 7更深受期待，近来有分析师拜访大陆的苹果供应链后透露，iPhone 7可望从7月开始生产；至于第二代Apple Watch则可望在年中亮相。怀特透露，新一代Apple Watch可能比第一代再薄20%到40%。http://t.cn/RqIaIAA
94	IphoneSE	这条视频快剪崩溃了，电脑死机两次。宝宝们都睡着了吧，叔有些心里话给你们说，顺便送美图V4和iPhone6se给你们，仔细看到视频最后吧，哈哈哈！哦对，4月25号记得来参加我们的轰趴
95	IphoneSE	【贾跃亭吐槽苹果：阻碍行业创新！】日前，乐视CEO贾跃亭吐槽苹果iPhone SE的创新是"以换壳为本"，iPhone SE竟使用3年前的120万像素摄像头；此外，他还细数苹果七大硬伤：硬件高毛利、产品低预期、商业导向强、用户价值差、剥夺个性化、傲慢封闭生态、阻碍行业创新…
96	IphoneSE	居然还有人在怀疑iphone se的续航！这个小机器续航比5s绝对是天壤之别，比iphone 6s也要强不少，个人感觉综合使用续航是直逼plus的。安卓党们被折磨久了，就只会看参数了，殊不知你的3600mAh真的未必比得了人家1600mAh
97	IphoneSE	前几天的苹果发布会，大家有看中什么吗？最重点的产品包括：(1) iPhone SE，史上最强大的 4 寸 iPhone，为识别区分，请务必入手玫瑰金、 (2) Apple Watch II ，多款颜色的织制尼龙表带，为了让更多人能体验其乐趣，售价降至 RMB2,288 起、(3) 9.7 寸 iPad Pro，机能基本跟 12 寸同出一辙，轻便就是王
98	IphoneSE	一个有毒的苹果（让你欲罢不能的买，像中了毒一样）渐渐地在变成烂苹果，一旦到了某个临界点，将彻底覆水难收。
99	IphoneSE	有了iPhone SE 购买低端机型再也没有忧虑：这款4英寸iPhone可以让苹果在低端市场再战几年。http://t.cn/RqzcNzs
100	IphoneSE	中国买苹果攀比虚荣是主要原因，那廉价的定位就不是好的。【《华尔街日报》：史上最廉价iPhone难打动中国消费者】iPhone SE发布第天，中国网民开始对这款4英寸设备进行集体吐槽，大量的微博评论直指iPhone SE外观设计类似之前的iPhone 5s毫无新意。 （分享自 @凤凰科技） http://t.cn/RqpA7W2
101	IphoneSE	英寸不是罪，问题您那渣渣的外观和手感，怎么可能让人觉得这是极致体验？当然装的人也更不会愿意拥有它。//【小屏iPhone SE销量差:中国居然是最惨的?】
102	IphoneSE	【贾跃亭吐槽苹果：阻碍行业创新！】国产手机发布会，苹果次次躺枪。日前，乐视CEO贾跃亭吐槽苹果iPhone SE的创新是"以换壳为本"，iPhone SE竟使用3年前的120万像素摄像头；此外，他还细数苹果七大硬伤：硬件高毛利、产品低预期、商业导向强、用户价值差、剥夺个性化、傲慢封闭生态、阻碍行业创新。各
103	IphoneSE	【面对iPhone SE，国内厂商的小屏机如何跟进？】乔布斯曾经说过，3.5寸屏幕的手机是人手所能掌控的最佳尺寸。然而库克在推出iPhone5之后，这一尺寸又变成了4寸。2013年，雷军发布小米2S，这一尺寸随之涨为4.3寸。……详情点击：http://t.cn/Rq77nvJ
104	IphoneSE	iphone se降不到9.3了，哭死
105	IphoneSE	因 iPhone SE 发布而大捞一笔的三个供应商：实际上，销量的提升不只对苹果有一定的积极影响，而且还是其默默在背后付出的供应商显然更乐意看到的结果。http://t.cn/RqZvnAn
106	IphoneSE	【苹果iPhone SE预定首日，消费者是这三种态度】苹果在今年春季新品发布会时发布了新款的4英寸手机：iPhone SE，并宣布在24日零时进行预售。苹果终于想起了中小屏幕市场。在iPhone SE预定的第一天，存在着大约这样三种态度的消费者。……详情点击：http://t.cn/Rqvm2W6
107	IphoneSE	【大坑！华强北商家用iPhone 5/5s翻新成iPhone SE！】港媒调查显示，深圳华强北部分商家高价回收iPhone 5及5s旧机款；店家会以旧机款作为机身，并以镭射技术把SE的字样刻在全新的山寨手机外壳上，再加上各种加工，费用仅仅只需60元人民币，旧机款便可伪装成全新iPhone SE售卖，一般人根本分辨不出来..
108	IphoneSE	【苹果看醉：LG注册G5 SE商标】苹果推出4英寸iPhone SE后，业界就好奇会不会有安卓厂商跟进，LG CEO此前曾表示苹果推出了一款全是老技术和功能的产品，然而近日外媒发现，LG已经悄悄注册了“G5 SE”商标……详情点击：http://t.cn/RqUF5mm
109	IphoneSE	你们买了iPhone SE，买了新衣服，又整了容化了妆去取悦别人，我买了电视机，买了车，又去驾校报了名，取悦自己。你们几年后收获一堆过时的电子产品和伤残的感情，而我却有车有房，还有电视可以看。
110	IphoneSE	心不在焉的出去浪白～本来想学习一下车模～我和女神之间好像还有iphone se的差距～没带钥匙啊～
111	IphoneSE	【APP专享团】5元 iPhone SE 玫瑰金 64G 苹果最新款手机 限量3台，再慢就被别人抢完啦！
112	IphoneSE	【有棱有角更立体：iPhone S 概念设计已上线】苹果为小尺寸iPhone选择了一个特殊的命名方式：iPhone SE。近日，来自美国的设计师富兰克林就作出了一个大胆的假设，他认为下一代 iPhone的命名可能不会是iPhone 7，而是叫iPhone S，还设计了一款概念iPhone。感受下~~
113	IphoneSE	【华强北商家用iPhone 5/5s翻新成SE】深圳华强北的部分商家高价回收iPhone 5及5s的旧机款，店家会以旧机款作为机身，并以镭射技术把SE的字样刻在全新的山寨手机外壳上，再加上各种加工，费用只需大约60元人民币，旧机款便可伪装成新的iPhone SE，外形可以假乱真。http://t.cn/RqZmVxL新浪科技
114	IphoneSE	苹果太良心！iPhone SE成本价格首曝光,iPhone SE物料成本(16GB版本)居然在260美元左右，这多少有点出乎意料。苹果给出的16GB 399美元价格(国行售价3288元)，一部SE将为苹果带来约35%的利润率，而同样的计算方式下iPhone 6S和iPhone 5S的利润率为 45%左右http://t.cn/RqLGy1O
115	IphoneSE	手机被偷更体会到 iphone 的好，find my iphone 和 activation lock 平时被我当鸡肋，现在竟然有了用武之地。下一个到底是 iphone se 还是 iphone 6s 呢...
116	IphoneSE	第二批iPhone SE和新iPad Pro将于下周上市 ：随着新设备登陆更多国家，消费者也就有了更多的选择。http://t.cn/RqZpLYY
117	IphoneSE	天然护眼模式 #iPhone SE黄屏# |香港特别行...
118	IphoneSE	这次商家的iPhone是砸手上了，尤其iPhone SE |惠州·陈江...
119	IphoneSE	【台媒：iPhone SE亮相 大陆网友批“无新意”】苹果公司发布iPhone SE，沿用iPhone 5s系列机身，性能提升、售价降低。但大陆许多网友不买帐，批评苹果毫无诚意，创新境界已到“不是变大就是变小”。还有仍在用iPhone 5s的网友说“可以暂时不用换了，仍旧流行嘛”。你怎么看？
120	IphoneSE	苹果想让大部分用户接受se那必须得有5S换购iphonese活动、不然销量不会很可观！
121	IphoneSE	【苹果太良心！iPhone SE成本价格首曝光】新浪科技消息，加拿大皇家银行分析师对iPhone SE物料成本(16GB版本)进行了核算，其成本价格居然在260美元左右，这多少有点出乎意料。相比260美元的成本价来说，Amit Daryanani认为苹果给出的16GB 399美元价格(国行售价3288元)，还是非常良心和厚道的。
122	IphoneSE	【苹果iPhone SE怪现象：难卖也难买】据外媒报道，三月底开始，苹果开始在全世界开售春季发布会新推出的四寸手机iPhone SE。不料，iPhone SE出现了一个怪现象，在美国、中国等一些国家出现了无货可卖。而这其中的原因很可能是苹果压缩了iPhone SE的产量。……详情点击：http://t.cn/RqKM6eY
123	IphoneSE	不选iPhone 6s选SE的理由 有点有趣又搞怪：额，这些理由的确是，嗯，要不要来一部iPhone SE呢？http://t.cn/RqZeZ7M
124	IphoneSE	觉得iPhone se比iPhone6和6s好看的就我一个吗？……我一直觉得5s的大小正好，款式也经典，当然可以更薄一点我更喜欢。但是看见首页刷的全是说iPhone se鸡肋，外观怎么怎么的……平心而论我觉得比6好看这一点就可以打动我，1月的时候因为6s长得太丑，还打算买5s来着……
125	IphoneSE	张五常博客管理员的文章：《谈谈苹果公司最近的两桩事：FBI破解苹果手机＆Iphone SE发布》（http://t.cn/RqApHlq）
126	IphoneSE	【苹果iPhone SE上市首周末销量出炉：大跌眼镜】Localytics数据显示，在正式上市后的首个周末，iPhone SE在所有iPhone机型总销售量中所占比例仅为0.1%，远低于苹果公司最近以来发布的其他一些机型。iPhone 6上市后首个周末的销售量在所有机型中所占比例为2%，iPhone 6s为1%，iPhone 5s为0.9%。
