ID	TARGET	TEXT	STANCE
35	IphoneSE	一直想买小屏手机，iphone se来的太及时。所以我这个用了两年的老人机为什么还不坏[拜拜]，我都不能理直气壮的找我爸要求换手机	FAVOR
36	IphoneSE	使用一个多星期..一切正常..速度是比6快一点..就是买了个16G的...空间太捉急..	NONE
37	IphoneSE	从2007年到现在，苹果已经推出了10多款iPhone，而在这些手机中，iPhone 5s的颜值绝对能排到前三，或许是基于这个原因，iPhone SE基本保持了与iPhone 5s一样的外形，同时加入了玫瑰金配色。iPhone SE将于3月29日在内地首发，售价是3288元起，你会第一时间买吗？	FAVOR
38	IphoneSE	还行吧 就是屏幕太小 每打一个字母 都要重复几次才正确 别说 这段话我打了二十多分钟才打完🙄😤	AGAINST
39	IphoneSE	尴尬: iPhone SE发售日苹果零售店门前冷清：果然喜欢小屏手机的都是小众，你身边有意向买这款新手机的人多吗？	AGAINST
40	IphoneSE	有廉价好用的中国货，再高价买屏幕那么小，价格那么高的SE是不是傻？	AGAINST
41	IphoneSE	已经成功的吸引我了	FAVOR
42	IphoneSE	生活不止眼前的苟且我还关心3个小时后的iPhonese好会卖成什么样子	FAVOR
43	IphoneSE	买了se感觉得买个平板	AGAINST
44	IphoneSE	64GB版iPhone SE印度售价确认:竟然比6s贵：即便 iPhone SE 史上最便宜，但到了印度就不灵了，价格甚至比当地的 iPhone 6s 还高。	NONE
45	IphoneSE	智能手机是电话短信和影音娱乐一体的，那肯定要屏幕大一点的。你现在出这么个功能机的小屏幕，配置超过苹果6的了，让苹果6情何以堪？！	AGAINST
46	IphoneSE	iPhoneSE真是一款有诚意的作品 SE=sorry everyone	AGAINST
47	IphoneSE	经过两个多月的猜测，iPhoneSE虽有小惊喜，但也与行业的猜测没有什么大出入。把iPhone6s的性能配置，放进了iPhone5S的外形中，iPhoneSE有了一种重拾经典的意味	FAVOR
48	IphoneSE	iPhone 6是个尴尬的存在，iPhone SE性能和功能上都和iPhone 6s旗鼓相当了，价格比Apple官方在售的iPhone 6还要低	AGAINST
49	IphoneSE	加拿大皇家银行分析师Amit Daryanani已经对iPhone SE物料成本(16GB版本)进行了核算，其成本价格居然在260美元左右，这多少有点出乎意料。	NONE
50	IphoneSE	刚入却没法正常使用的#iPhoneSE# 平时不发出声音也会弹siri,且退不出关不掉，关掉siri后会出现语音控制界面，今天拿去苹果售后检测没有任何问题，而且home键估计也不怎么好用,重装系统两次然而并没有卵用	AGAINST
51	IphoneSE	苹果今天凌晨推出了回归小屏之作——4英寸iPhone SE，就外观来说，该机并没有带来惊喜，因为它跟iPhone5s几乎完全一样，但这并不意味着是一件坏事，因为不少消费者表示该设计是比较经典的	NONE
52	IphoneSE	怪不得已爬楼层没有数据，原来是#iPhoneSE# 没有气压计！	AGAINST
53	IphoneSE	苹果推出iPhone SE，短期利好，长期利空。从短期来看，会提升产品销量，进一步提升销售额和盈利水平。但这一举动无疑和苹果做极致产品的文化和战略是相违背的，苹果逐渐不那么高傲了！	NONE
54	IphoneSE	各路人马早已放出关于苹果春季发布会的种种消息，这一次苹果不再“比大更大”，反而要推出更小的iPhoneSE和iPad Pro。要想理解苹果为什么要“往回走”，从苹果的用户群变化来研究或许是最好的着手点。	NONE
55	IphoneSE	国行价格还是有些坑，港行应该会很有吸引力。3000+甚至4000+的国产机可能日子不好过了。不过苹果并没有说电池，内存，续航对比时候用的一项也是3G时长，感觉有猫腻	AGAINST
56	IphoneSE	SE，小手无法掌握那么大的手机	FAVOR
57	IphoneSE	简直的不能太棒，更新升级我都不爱，就喜欢稳定性	FAVOR
58	IphoneSE	SE入手一个星期使用感受：单手持握的体验真的太美好了！	FAVOR
59	IphoneSE	已用21天，爽哭…	FAVOR
60	IphoneSE	iphonese这么白菜？买一个回去给姥姥？	FAVOR
61	IphoneSE	se虽然性价比高，但是5s外观没法装逼了，还是等七吧	AGAINST
62	IphoneSE	尽管它可能不会打破什么销量纪录，但应该不会再像iPhone 5c一样以惨淡结局收场了。	NONE
63	IphoneSE	惯了大屏手机 #iPhoneSE# 这小手机放兜里总怕丢了 感受不到它的存在	AGAINST
64	IphoneSE	iPhonese 三星盖乐世S7/S7edge、vivoX5play OPPO R9 meizu pro6 华为P9 zuk 乐视max2都相继问世 堪称手机世界大战啊	NONE
65	IphoneSE	iPhone SE自发布以来频频爆出小问题，如黄屏、摄像头金进灰、边缘触控不灵敏等。近日又有外媒机构测试了iPhone SE的硬度，在经过一系列测试后发现其耐用度可能不如4.7英寸的iPhone 6s和5.5英寸的iPhone 6s Plus。	NONE
66	IphoneSE	除了芯片升级，其他的就没什么东西，忽悠人，价格又不便宜，出来就是个怪物，苹果想救市，就用心，拿点新东西出来。现在不是五年前，钱好赚，肾好卖	AGAINST
67	IphoneSE	流畅度好，拍照清楚，支持4k	FAVOR
68	IphoneSE	和之前用的5S长的一样，没有购买欲！由于内存不足，拍个照就提醒，烦死了。我最后抓狂了。买了Iphone6S plus～坦白说，还是5S手感好。	AGAINST
69	IphoneSE	不光是屏幕更小 iPhone SE的指纹识别和屏幕显示都比6s差 也就是说iPhoneSE的指纹传感器与屏幕素质都不及iPhone 6s。	AGAINST
70	IphoneSE	可以睡了，iPhoneSE和5s基本外观一样，多了一个玫瑰金，性能大约是5s的两倍和6s差不多，但相比6s少了很多功能	AGAINST
71	IphoneSE	iphoneSE 还是不错的。有闲钱的真的可以买。当5S使，低调而富有内涵。	FAVOR
72	IphoneSE	iPhone SE的上市，新款系列也应运而生了。	NONE
73	IphoneSE	用了五年爱疯4的胖子终于等到了适合他的机型  爱疯se…	FAVOR
74	IphoneSE	洗洗睡吧。。丑到没朋友的表带。和5S一摸一样的SE。虽然首批有中国。但是一点都不期待。晚安	AGAINST
75	IphoneSE	丑爆了  丑爆了  丑爆了	AGAINST
76	IphoneSE	买了iPhone SE 你是否会跳过iPhone 7升级?：对于很多人来说，iPhone SE却是“最好”的选择	FAVOR
77	IphoneSE	这功能算是很强大了	FAVOR
78	IphoneSE	卖了PLUS入了SE，感觉好轻松啊	FAVOR
79	IphoneSE	就是爱4寸，上手良好屏幕无异常。	FAVOR
80	IphoneSE	听说iPhoneSE回归5的屏幕，掷地有声一句：老娘就知道！当初5S给自己摔了，恨不得重新买一个。最后因为价格和6差不多，再加上貌似要停产5的消息....终于等回一手掌握的日子了	FAVOR
81	IphoneSE	总体来说还是不错的，毕竟这个价钱能有这么高的配置，可能屏幕小了些，但对于喜欢小屏，单手操作的来说还是很不错的	FAVOR
82	IphoneSE	iphone SE的推出，估计不是因为5s压了太多库存就是为了节省开模费用。大屏当道的移动互联时代，4寸小屏重出江湖，逆的不仅是市场潮流，更是人性和习惯，这显然犯了营销大忌。库克领导下的苹果，当乔布斯时代光环褪却后还能走多远，令人堪忧。	AGAINST
83	IphoneSE	跑分软件安兔兔正式放出了iPhone SE的跑分信息，虽然这款手机身材娇小，但是性能方面却是相当恐怖，64GB版本iPhone SE在安兔兔上跑出了13.4万分的成绩，直逼三星S7、小米5等一众安卓旗舰。值得一提的是iPhone SE的内存也证实是2GB。	FAVOR
84	IphoneSE	把 iPhone 6s plus 给了少爷，自己换了 iPhone SE 玫瑰金和 iPad Pro 凑一对儿～感觉今年的自己冒着粉红泡泡的少女心......头一次没选择同步备份而是设置成了新 iPhone，在放哪些 App 怎么放上认真思考了下，摈弃了需要大屏体验的选择，一屏幕效率一屏幕生活～所有的需要观感体验的都丢去 Pro 上了～	NONE
85	IphoneSE	对于SE，没有想买的欲望。。。	AGAINST
86	IphoneSE	什么鬼！还se 乔帮主在世的话绝对不会用这么奇葩的名儿，更不会一会儿产个大屏，一会儿弄个小屏，时不时还整个中不溜，外观耍花样系统却无任何实质性的突破，看来Steve Jobs的理念都快被抛弃差不多了   用来用去都觉得乔帮主的4s最经典，还是决定好好爱护我的小黑	AGAINST
87	IphoneSE	问朋友是买iphone SE还是6S，他说SE，想分期，可是最多分期是三期。不知道五一有没有促销呢。	NONE
88	IphoneSE	醒了看看新闻，iPhoneSE配置还行，外观有一点失望了，继续睡	AGAINST
89	IphoneSE	SE很赞，4S是最经典的一部手机，5S是苹果做得最好看的一部手机。SE结合了5S好看的外观和6S更优秀的配置，是一次很不错的升级。	FAVOR
90	IphoneSE	找室友去吃火锅，他说要攒钱买iPhone SE 不去了。问他怎么攒钱，是不是有兼职可以介绍给我。“PSV和游戏带卖了1200，” / “然后呢？” / “然后我爸给我打了3500。” / 。。。	NONE
91	IphoneSE	hi~ 各位早上好~ 今天凌晨，苹果公司发布了最新款的iPhone SE手机。长得跟5S一样，回归了小屏，却有着一颗6S的心，性能堪比6S，国行最低3288元成为了史上最便宜的iPhone，而且中国也在3月31日的首发名单中，据称这回是剑指安卓。。。不过，小屏回得去吗？用安卓的你会买吗？	NONE
92	IphoneSE	你们有钱你们买 我就看看  399刀其实性价比挺高的	FAVOR
93	IphoneSE	虽然你长得好看，可是你太黄了。	AGAINST
94	IphoneSE	哇 今日放晚学翻到屋企 一进入自己房间第一眼就见到一台iphonese5放系我写字台	NONE
95	IphoneSE	苹果今晨发布iPhone SE，外型沿用5s，性能翻倍；4英寸屏幕搭载A9处理器，后置1200万像素摄像头，支持Live Photos与Apple Pay，很遗憾并不支持3D Touch；16GB和64GB国行售价分别为3288元和4088元。	AGAINST
96	IphoneSE	再过两周，苹果新机iPhone SE就要上市了，这是苹果在“中低端”市场的又一次试水，是总结过iPhone5C失败经验后的又一次起航，但iPhone SE的市场前景很难令人放心	NONE
97	IphoneSE	前两天陪朋友去看iphone se,最关心黄屏问题，销售人员解释这是苹果特意为亚洲人调的暖屏，我就随口问了句为什么旁边的Iphone6S为什么不暖。问完我分明从销售人员的眼中读到了“你TMD是来闹事的吧？！”	NONE
98	IphoneSE	iPhoneSE 和5S区别好像只有玫瑰金	AGAINST
99	IphoneSE	iPhone SE续航真是赞，一天都不用充电，一上午待机都是100%	FAVOR
100	IphoneSE	有些东西看久了会腻，有些东西却越看越顺眼。曾经对iPhone5的板砖设计翻白眼的我现在也会想要一台SE了。说白了感情好像也是这么回事。我问过我哥怎么跟嫂子在一起的，他说追到了就在一起了呗。是啊追到了就好其他好像也没有什么要考虑的。真的没有吗。只要越看越顺眼就好了，对吗。	FAVOR
101	IphoneSE	前摄像头和5s是一样的！只后摄像头提升了！	NONE
102	IphoneSE	品质不怎么好，，电源键，还有左边的调声音的按键都是松的，，而且电源键，送的程度很大，，一直在摇晃。。非常不好	AGAINST
103	IphoneSE	屏幕屎黄，换货两次，se真的很失望	AGAINST
104	IphoneSE	两年前签的手机合约还有一个多月到期，用了一年半的一加最近电池要挂了，一天要充电两次，一到10%就自动关机，所以万能又机智额小伙伴们你们说说我要不要去联通存话费送手机搞一台iphone se？	NONE
105	IphoneSE	在大屏时代，小屏手机还有需求吗？这是很多人疑惑的，但事实上，大屏时代后很多人反而想有一款能单手操作，方面携带的小屏手机。4寸iPhone SE 发货已经变更为“2-3 周”。	FAVOR
106	IphoneSE	虽然我们暂时还不确定苹果4英寸新机会命名为iPhone5se还是iPhoneSE，但是这不妨碍我们对这款产品的期待。	FAVOR
107	IphoneSE	PhoneSE横空出世然而我觉着这个定价并不符合某些人的消费心理 我是说他们巴不得苹果出一款贴满钻石黄金机身定价XX万的限量 就比如我认识一个暴发户傻叉 每每豪掷千金买下最大内存版本 至今都不知道如何连接itunse 对于iPhones 饿的出现他势必咬牙切齿	AGAINST
108	IphoneSE	虽然苹果系统做的很好，但是高价位的确“诱惑”了不少国人的心。目前国产旗舰在千元左右，苹果se定位3000以上，显然还是有些高。如果说行货价位偏高，美国仅卖2600不到，高价格相反更符合一批国人的“心愿”。	AGAINST
109	IphoneSE	苹果在今天凌晨发布了全新iPhone SE手机，该机在外观上与iPhone5s几无二致，但在配置和功能上又非常接近iPhone6s	FAVOR
110	IphoneSE	虽然大家都在吐槽iPhone SE，但是我觉得它挺适合我的，因为我讨厌大屏手机，iPhone SE那样刚刚好，我是iPhone 5的忠实拥护者，不过5已经停产了，也没有指纹识别，如果换手机，我会考虑iPhone SE的，毕竟价格也合适。	FAVOR
111	IphoneSE	iPhone 5/5s手机壳/膜别扔 可用于iPhone SE：相比以往的 iPhone，这次 iPhone SE 配置不俗，价格还很亲民，国产厂商要伤脑筋了。	FAVOR
112	IphoneSE	不错，是我喜欢的款，下手了	FAVOR
113	IphoneSE	苹果公司将在本月晚些时候发布一款新的4英寸iPhone——iPhone SE。一时之间看不明白这个“SE”命名方式的人很多，而早前的消息表示这款新iPhone将被命名为iPhone 5SE	NONE
114	IphoneSE	app我倒不卡，但是锁定屏幕时最后屏幕关闭时候中间那一块会出现在眼前，你也是这样吗，为什么不是全部暗的	AGAINST
115	IphoneSE	这手机有人买？	AGAINST
116	IphoneSE	今天是苹果4寸新机iPhone SE正式上市的日子，很多预订的用户也第一时间收到了新机，问题也随之而来，目前网友反应最多的就是“黄屏”。	NONE
117	IphoneSE	很多人挺搞笑的，说苹果就必须要越造越大才有人买，那你怎么不干脆去买个电脑 买iphone6 plus纯属为了显摆有钱的大有人在，不想换plus的，不是买不起，只是喜欢小屏而已。so，苹果出了iPhoneSE怎么就要被淘汰了！中国喜欢小屏的人多着呢	FAVOR
118	IphoneSE	虽然苹果系统做的很好，但是高价位的确“诱惑”了不少国人的心。目前国产旗舰在千元左右，苹果se定位3000以上，显然还是有些高。如果说行货价位偏高，美国仅卖2600不到，高价格相反更符合一批国人的“心愿”。	AGAINST
119	IphoneSE	已入一周，哪哪都好，屏幕正好。	FAVOR
120	IphoneSE	2012年的设计，现在来看，仍旧如此优雅。	FAVOR
121	IphoneSE	每月仅需 15 美元就能将 iPhone SE 抱回家了，你需要这样的服务吗？	NONE
122	IphoneSE	这个配色真好看！要是金色配黑色的iPhoneSE。我可以考虑考虑	FAVOR
123	IphoneSE	印度智能手机用户最看重大屏幕和低价格，大屏幕因为当地人更爱用手机看视频，售出的手机半数都是5英寸以上的。iPhone SE只有4英寸的屏幕不说，起步价在印度也高达590美元，比美国还贵48%，而印度市场上其他品牌的4英寸手机都不到150美元。	AGAINST
124	IphoneSE	手机壳厂家万万妹想到，堆在角落里积压库存多时卖不出去的iphone5手机壳居然焕发了第二春。	AGAINST
125	IphoneSE	v e n这三个字母可能代表了某些功能，配置，硬件和售价。所以iPhone se如果加上这些条件，就会加上v e n这三个字母。摇身一变，iPhone seven问世。	AGAINST
126	IphoneSE	iPhone SE的推出对苹果毫无疑问是一种倒退，因为并不支持上一代iPhone 6S支持的3D Touch。我认为不支持的原因并不在于应用不成熟，而是加入3D Touch功能需要改进屏幕，而这肯定需要对建立在iPhone 5外观基础上的SE进行改进，改进意味着成本增加，只知道赚钱和玩供应链的库克是不会这么做的。	AGAINST
127	IphoneSE	现在用小屏的人还是挺多的，不是所有人都对大屏感冒	FAVOR
128	IphoneSE	是啊，苹果手机在美国也就是一个千元机了，来到中国就这么贵了，坚决不买。	AGAINST
129	IphoneSE	iPhone se上手体验，，，  没有我6s好。	AGAINST
130	IphoneSE	iPhone SE很有吸引力。这个外形是所有手机中我觉得最好看的，价格相对低廉同时配置强大，苹果系统的易用性更不用说。只是用过大屏幕的，很难在接受小屏了，retina也不行…	FAVOR
131	IphoneSE	本来还想买个玫瑰金的，居然黄屏，算啦。等iPhone7好了	AGAINST
132	IphoneSE	自从用了plus，就再也不想用小屏了	AGAINST
133	IphoneSE	最便宜的iphone	FAVOR
134	IphoneSE	总之我觉得SE的表现还是很好的，它的硬件基本就确定了。在其它表现方面，就是那些比较主观的，比如因为不圆滑而手感问题，或者小屏幕问题，这些可能是因人而异的，在我看来，因为我的略高手也稍微大一点，所以SE握在我手上也没太大的难受感。	FAVOR
135	IphoneSE	分析师Brian White近日前往深圳的Apple Store进行了参观，他表示 iPhone SE 每天早上都会准时运到，其中主要是金色版本，而这些iPhone SE在上架大约一小时后便卖个精光。而iPhone SE可能在美国本土并没有带来太大的效应。	NONE
136	IphoneSE	iPhone SE到手第二天就花屏了.   这运气也太好了，还是苹果真的不行了。	AGAINST
137	IphoneSE	iPhoneSE黄屏验证了一句俗语便宜没好货	AGAINST
138	IphoneSE	新登場 iPhone SE，是歷來最強大4吋手機。所採用的 A9晶片，正是 iPhone 6s 使用的先進晶片；1200 萬像素鏡頭，讓你拍攝精彩絕倫的相片和 4K 影片；更有 Live Photos，隨時讓你的影像生動活現。這一切，都令這部外形小巧的 iPhone，處處大放精彩。	FAVOR
139	IphoneSE	最近天热了，红米 Note3 的指纹解锁成功率「感人」，iPhone SE 隔着 PE 手套都可以成功解锁……	FAVOR
140	IphoneSE	买这个干嘛，同样的价格可以买很多不错的手机，还以为是前几年，苹果贵依然大面积有人买，现在和苹果媲美的手机太多了。。	AGAINST
141	IphoneSE	iPhone se 感觉挺值得！摄像头是平的耶！	FAVOR
142	IphoneSE	iPhone se右侧一半屏幕中等力度按都有响声。很大的声音，入手7天。已经申请退货了。一查是5s时期通病。我手里的这个5s用了2年。屏幕就是轻微上下浮动。就几个点用力按才有小声音。se力度更轻，面积更大。声音更响。希望有同样买se的同学看看自己手机右侧屏幕。用力按是否有声音	AGAINST
143	IphoneSE	iPhone 5SE有多种不同的原型机正在进行内部测试，既有搭载iPhone 6s同款A9处理器、M9协处理器的，也有的使用A8、M8，而据最新进展，A9、M9的希望越来越大。存储容量方面，iPhone 5SE仍然会是16GB起步，然后就是64GB。	NONE
144	IphoneSE	黄屏是未来的趋势！暖色调保护眼睛。蓝色屏幕（冷色调）有蓝光短波，刺激视网膜，引起眼压升高和青光眼。	FAVOR
145	IphoneSE	当SE刚刚睁开眼睛看到新主人对他说第一声“Hallo”的时候，主人却说：“怎么是黄屏，退了退了。”想想SE也是够可怜。	AGAINST
146	IphoneSE	iPhone SE具有出众的性能，完善的软件生态，精致的做工以及优秀的品控，出色的成像质量；但屏幕尺寸略小，需要适应，续航能力一般，充电速度一般。	FAVOR
147	IphoneSE	睡前来个无责任预测，iPhone SE应该卖的不会太差，但是主要集中于美版、港版——毕竟这两个版本更低的价格摆着呢。	FAVOR
148	IphoneSE	最无聊的一次发布，disappointed	AGAINST
149	IphoneSE	手机被偷后，一直纠结是随便买个便宜的手机挺半年等出iPhone7呢，还是买个SE等出iPhone7s.iPhone8.iPhone8s.iPhone9……呢。这一些的纠结都来源于q i o n g 穷	NONE
150	IphoneSE	屏幕有问题。压爆了显示ic	AGAINST
151	IphoneSE	屏幕顶部大概有3mm的黄带…客服说不是通病，你还是换吧。。	AGAINST
152	IphoneSE	天哪！iphone se最低只要399美元！天哪！这个价格太爆炸了，国产手机大危机？？	FAVOR
153	IphoneSE	华尔街日报评iPhone SE: 小屏机回来复仇了：有人认为iPhone SE会走iPhone 5c失败的老路，当然也有人认为它可以让苹果焕发又一春。	NONE
154	IphoneSE	要是苹果把这款se的屏幕做到跟6一样大的话，我感觉除了se所有都要完，不直安卓要完包括苹果6的所有衍生型号也都要完，问啥库克船长不愿意一剑封喉呢	AGAINST
155	IphoneSE	iPhone se 的 Touch ID 解锁速度确实不是很给力，感觉不如红米 note3 快。	AGAINST
156	IphoneSE	新款4英寸iPhoneSE售价399美元，价格远低于旗舰型号iPhone6s。尽管在产品定价方面愈发咄咄逼人，分析师却预计，廉价iPhone只会给苹果智能手机销量带来小幅提升。	NONE
157	IphoneSE	根据苹果公司一贯的做法，应该不会通过降价来提高销量，毕竟品牌效应。	NONE
158	IphoneSE	尽管配置出来的时候满满的失望 不过今晚看完发布会又动了买的念头 别再说不如买个5s了 真正用了5s就知道了 iOS7系统已经处于被淘汰的边缘了 越来越多的应用已经放弃iOS7了 可是如果升到iOS9又会卡得要死 基本跟板砖无异 出了se后 5s真的是走到末路了	AGAINST
159	IphoneSE	你以为iPhone SE卖便宜 它就挣得少了吗？：iPhone SE 并不像外界说的那样，因为售价便宜，因此利润率大幅降低。	AGAINST
160	IphoneSE	今天还买了台给我妈当生日礼物，西单店员告诉我今天卖得就剩几台16GB玫瑰金的了，唱衰的人都歇歇吧，手机市场整体饱和了，销量是相对的，亚太厂商不好好把心思放在产品上，就知道背地抹黑别人。	FAVOR
161	IphoneSE	iPhone SE印度没人要：贵的离谱	AGAINST
162	IphoneSE	昨天在手机城看到一个卖小米五标准版的居然卖2880我想说还不如多几百买个iPhonese呢	FAVOR
163	IphoneSE	App Store 进去时候有时会卡住 需要重启	AGAINST
164	IphoneSE	虽然苏宁的iphone 6s比官网便宜700块，我还是毅然在官网下了se的订单。为啥啊？因为苹果店的服务态度吼吼啊，苏宁就是一坨屎啊，靴靴。	NONE
165	IphoneSE	手机主流屏幕尺寸越来越大，4～5寸的小屏手机反倒成了蓝海市场。目前市面上除了iPhone外，基本找不到设计精良的小屏安卓手机了。而这部分市场需求依然巨大，安卓厂商们能否上点心？	FAVOR
166	IphoneSE	苹果推出iPhone se，关键外形和5s是一样的，配置是6s的，还不贵，销量肯定不错。对于一个外设服务商，我只想说，谢谢	FAVOR
167	IphoneSE	之前各种预测的iphoneSE真的出现了 只不过预测的都是SE采用6s的外观 没想到用的还是5s…猜中了开头没猜中结局啊	AGAINST
168	IphoneSE	苹果始终就是单卡，是不是换种观念看中国，我觉得这么大的市场应该应该体验，调查一下中国人的喜好再出手机。不要每次总是却一点。	AGAINST
169	IphoneSE	卧槽卧槽。。这个价格我有点心动 不过用这玩意别人看起来就跟5s一毛一样	NONE
170	IphoneSE	不是说苹果是历史性的倒退，而且“我们”自己把苹果定义的太“未来了”，非得有大动作，新亮点的才能是苹果？最近都是吐槽SE的，可是，你咋不看看你现在用的手机又有多少亮点？个人觉得。人家又不傻，能发布4寸机，肯定这方面还是有市场的（个人并不喜欢大屏），苹果能从大屏回归小屏，国产机敢玩吗？而且被誉为史上最便宜的苹果，国产机迎接好挑战了吗。感觉必定对安卓中高端有一定冲击！（个人理解，不喜勿喷）	FAVOR
171	IphoneSE	智能手机主流已然大屏化，苹果干嘛还要再发4寸新机？小屏机市场需求不小。去年iPhone 5s全球销量3000万部，两成苹果用户仍在用iPhone 6之前机型，新兴市场期待低价机型。对销量停滞的苹果来说，这块数千万销量的细分蛋糕不容放弃。	NONE
172	IphoneSE	我的16GiPhone 4 从11年用到现在，用不了4g网络、因没升级系统一直用iOS6所以下载不了一些新的app、容易卡等等都忍过来了，但最近用的聊天软件kakao talk却让我升级最新版本，不升级就不能使用，以此逼我不得不换手机了。喜欢小屏幕的我，买iPhone SE 还是等iPhone 7？	NONE
173	IphoneSE	关于iPhone se，其实我只是感兴趣那个护眼的功能 毕竟每天晚上即便屏幕亮度调到最低也还是觉得好亮好刺眼……	FAVOR
174	IphoneSE	官翻版iPhone 5S，你值得拥有——iPhone SE	FAVOR
