ID	TARGET	TEXT	STANCE
20	春节放鞭炮	春节凝聚了传统与现在对抗的所有焦距。该不该放鞭炮，该不该敬神，该不该给长辈磕头，该不该让花炮吓唬到宝宝，该不该看春晚倒还真不是个事儿。。	NONE
21	春节放鞭炮	商人把环境破坏的一塌涂地，然后美其名曰为了大家健康，群民禁鞭。春节，如果不放鞭炮，如何显示的热闹-假装的热闹。致春节没有圣诞节火爆的悲哀，迷失的中华灵魂。	FAVOR
22	春节放鞭炮	#东郭乱弹# 霾！严重...全家一致赞同春节不放鞭炮、烟花！	AGAINST
23	春节放鞭炮	//@没品周刊:上海春节都不许放鞭炮了，这迪斯尼天天放烟火？不怕空气污染吗	AGAINST
24	春节放鞭炮	在乡村过春节真正有传统过年的气氛，家家放鞭炮，处处闻祝福，鞭炮硝烟弥漫着整个村庄。 |桂平·麻垌…	FAVOR
25	春节放鞭炮	#头顶雾霾，心有蓝天##南工程电力144#过年放鞭炮产生的有害气体及粉尘更加剧了日益严重的空气质量。虽然春节期间放不放鞭炮仍争议不断，但少放一挂鞭，绿色环保过大年的确成为越来越多人的共识。头顶雾霾，心有蓝天@南工程电力学院分团委@南京工程学院校团委	AGAINST
26	春节放鞭炮	#声音#【禁放鞭炮,呼唤更多柔性举措】据媒体报道,担忧雾霾，羊年春节已有近700城市禁放、限放鞭炮；放鞭炮图热闹,传统民俗遭遇现实纠结。鞭炮禁放需要时间的过渡,人们观念的变更,及政府宣传的常态化与春节期间“禁鞭”的令行禁止。而来自民众的自发意识与行动尤为关键。http://t.cn/RwfS5QI	AGAINST
27	春节放鞭炮	国家现在不提倡#春节放鞭炮#，说会影响环境，可是国家平常为什么不好好整治一些工厂排放的有害气体，更何况这是中国人最重要的节日，春节放鞭炮也是中国人一直的传统，老鹰不管，管起小鸡来了．	FAVOR
28	春节放鞭炮	春节传统习俗怎么了！还不能放鞭炮，聚会，浪费，大鱼大肉！竟然还抨击起来做节目！又还一边说没年味！想怎样！放鞭炮不行啊！	FAVOR
29	春节放鞭炮	#雾霾vs放鞭# 空气好了 人才会心情好 现在空气污染已经这么严重了，还放鞭炮，只会雪上加霜，虽然是传统节日的春节，但还是希望大家可以自觉一点，为环保做出一点贡献。毕竟还是环境更加重要嘛~~	AGAINST
30	春节放鞭炮	#台州身边事#【今年春节放鞭炮时段】除在农历除夕前一日、除夕、正月初一、正月初八以及正月十五等五日燃放烟花爆竹，其他时间禁止燃放。为了您和他人的健康和安全，请自觉燃放烟花爆竹。#草根微博联盟# |台州·金清	FAVOR
31	春节放鞭炮	在美国过了一个最不像春节的春节，年夜饭都不能聚一块儿吃。不由自主的春节该做什么都忘了。在家过春节时那多丰盛多热闹，放鞭炮看烟花，还看春节晚会。亲朋聚会，欢乐喜庆。不知不觉传统风俗都被忙乱取代了，仿佛被裹挟着，日子把人都过傻了。	FAVOR
32	春节放鞭炮	#2014春节我志愿加入不放鞭炮行列#如果要你选择能喘气的活着还是为了喜庆的动静。你会大义凛然的选择烧钱坑爹伤人污染环境的鞭炮？我志愿加入2014春节不放鞭炮和劝导身边人不放鞭炮的行列，你愿意加入么?我愿意！@吉林电台王曼 @新浪公益 @长春发布 @联青志愿者 我在这里:|吉林·壹克...	AGAINST
33	春节放鞭炮	小时候最美好的过年记忆并不是看春节文艺晚会，而是和村里的小伙伴拿着玩具枪、带上鞭炮，和小伙伴满大街追逐放鞭炮。”	FAVOR
34	春节放鞭炮	10岁以后我就没放过鞭炮，那时个位数年龄的我对环境不会有任何程度的破坏力，而且我印象中叔叔爷爷辈的放鞭炮最积极最欢根本没我们这年龄的。环卫工人说的对，爱护环境从我做起，他们是辛勤的劳动人民，应当受到尊敬，所以，春节要弘扬传统也要保护环境不放鞭炮。你过完年再放呗！ |人民街	AGAINST
35	春节放鞭炮	放鞭炮是中华民族传统文化之一春节必备。年味十足啊。怪不得会席卷全球的大红色。喜气洋洋。祝全家平平安安 合家欢乐 年吉祥。新年新气象	FAVOR
36	春节放鞭炮	春节不放鞭炮 少放鞭炮从我做起	AGAINST
37	春节放鞭炮	我们春节放鞭炮可放了五千多年了,鬼神尤在啊！ ——看到陈九的博文《禁止春节放鞭炮是馊主意，你摊上事儿了！》有感而发的评论。http://t.cn/zY6ne2t	FAVOR
38	春节放鞭炮	#告别污染 喜迎双蛋#燃放烟花爆竹还产生固体废弃物污染。据向阜阳市环境卫生部门了解，春节放鞭炮后，垃圾量会成倍增加，加重了节日期间环卫工人的负担。满地纸屑、烟尘，严重影响了环境卫生。@环保北京 @绿色环保 @环保科技协会 @清华绿色协会	AGAINST
39	春节放鞭炮	太无聊。。。睡觉。。。。越是过年越是无聊。是因为现代人的生活节奏趋向和习惯快餐式所以对于传统节日的表现日益缺乏吗？感觉过春节放鞭炮什么的 只是一种形式了。。没有了小时候那种欢庆的态度和喜悦。晚安~亲爱的@SANSUN杨柚子  等你有空约麻将！请自行报名。 |朝阳街	FAVOR
40	春节放鞭炮	[呵呵]我春节放鞭炮源于千百年前驱魔，法国新年前夕烧车源于上世纪90年代法东部斯特拉斯堡贫民区为诈骗车险或犯罪分子销毁罪证。驱魔放鞭乌烟瘴气，烧车灭证危害治安，可见习俗有好坏之分。武汉等地对放鞭由禁改限，又由限复禁。好！还祖国一片蓝天。多好！	AGAINST
41	春节放鞭炮	在冬天每每听到放鞭炮的声音我就感觉像要过春节了，但是往往圣诞节的气氛比春节还要浓，大家还是应该把自己的传统节日过得好一点，这种传统的中国文化在流失，就像空气一般也渐渐污浊，为什么不爱惜为什么这么多人逃到国外，还不够深刻反思么国民们。。。。。。。	FAVOR
42	春节放鞭炮	如果春节不放鞭炮、还叫春节吗？可以少放、但不可以不放、大气污染不是一个春节不放鞭炮就可以结局空气污染问题、	FAVOR
43	春节放鞭炮	#传奇中国节# 大家好春节快乐羊年大吉,我们在柬埔寨也过年,在这边呢家家户户都拜祭祀品 还有吃团圆饭 跳舞师。但是我们不放鞭炮的,因为我们的政府不批准的。 |柬埔寨金边	AGAINST
44	春节放鞭炮	@ 大商集团新乡新玛特购物广场 【春节放鞭炮】你们会在新年放鞭炮吗？放鞭炮有不少危害①烟花爆竹燃烧会释放大量有害物质，可刺激人眼鼻喉肺 ②形成城市烟雾～加大PM2.5含量！③有爆炸危险 ④放炮噪音大会造成人听力受损 ⑤产生大量爆竹垃圾。春节请大家不放或少放烟花！ 我在:|劳动南街	AGAINST
45	春节放鞭炮	#园区工会#PM2.5这么严重，今年放春节你还会放鞭炮吗[挖鼻屎]？园区奇华顿工会与绿色小组联合号召：马年春节不放鞭炮，移风易俗共创蓝天！每位员工还可以免费领取“电子鞭炮”[花心]~~~~~~	AGAINST
46	春节放鞭炮	2013年中国人的确在环保意识上真的提高了、今年的春节放鞭炮的人很少、很少、为了环保和安全、可以放弃自己的爱好和风俗、这证明人民觉悟提高的很快、对吧。	AGAINST
47	春节放鞭炮	春节在我的印象里还是那个全部从原材料准备起，下午祭祖，晚上年夜饭，8点看春晚，12点收压岁钱放鞭炮吃馄饨规矩多多隆重的家庭节日。我们的记忆被这样每年不断重复程序化的仪式构架并打上烙印，是归属感是乡情。我的孩子也需要这些，所以我丝毫不敢怠慢节日的传统，怕我的漫不经心松动她们扎根的土壤	NONE
48	春节放鞭炮	“我不喜欢春节放鞭炮…”“为什么？”“因为，Boom shakalaka.我就跳起来了…”	AGAINST
49	春节放鞭炮	#为不环保的春节祈福#如今人们的生活水平好了，可是过春节放鞭炮的习俗已经变了味，感觉不再是热热闹闹喜庆的成分在里面了，而且成了一种负担，每到春节，过多的烟花爆竹会给我带来一种困扰，总感觉大家在鞭炮数量上互相攀比。期待以后的春节，找回以前的感觉，少一些鞭炮，多一些环保！	AGAINST
50	春节放鞭炮	呼吁春节不放鞭炮的环保局都是奇葩。该管的不管，不该管的偏要管	FAVOR
51	春节放鞭炮	#哈市播报#“今年过年，我们不放鞭炮，也能红火过大年。”由黑龙江省哈尔滨市环保局发出的春节期间文明理性燃放鞭炮倡议，得到了包括哈尔滨市500余所学校40万中小学生、1000多家商户、30多家大型企业一致响应。他们纷纷表示，今年要过一个平安、绿色、环保的春节。	AGAINST
52	春节放鞭炮	#2015央视春晚#今年的春节不放鞭炮了 |廊坊·管道...	AGAINST
53	春节放鞭炮	准备国考面试的同学们注意了，几个不错的题目，供大家参阅：1 春晚不少明星”假唱“怎么看？2过年红包压力大，怎么看？3春节放鞭炮，怎么看？4名牌大学高材生下乡当村官，你怎么看？	NONE
54	春节放鞭炮	#过年不放鞭#去年春节，本市城区PM2.5最大峰值达到了882微克/立方米，空气质量瞬时值已达到严重污染的最高级别。为使我们的城市能有更清洁、舒适的节日环境，市环保局发出倡议，广大市民朋友，做不放烟花爆竹的先行者，春节期间不放鞭炮，积极营造文明、安全、宜居的环境。http://t.cn/8FMAYyt	AGAINST
55	春节放鞭炮	发表了博文《难忘的春节》难忘的春节六（3）班李家佳时光飞逝，又到了春节了，这是我们国家的传统节日，可以说是这一年的一个盛世了，辞旧迎新。农历正月初一是春节，除夕这一天家家户户都要放鞭炮，贴春联，迎接新|难忘的春节	FAVOR
56	春节放鞭炮	【广汉万福小学春节主题教育实践活动丰富多彩】购年货、剪窗花、挂倒福、贴春联、吃汤圆、放鞭炮、点烛旺家、踩岁踏节、置席守岁、接神送财、逛街观社、串亲拜年……今年春节，万福小学开展“我们的节日——春节”主题教育实践活动，让400多名孩子度过了一个愉快、难忘的节日。http://t.cn/RGnguxp	FAVOR
57	春节放鞭炮	今年春节放鞭炮的真心少多了，外面能看到满天星星呢！ 早上一定会被炮仗炸醒！	NONE
58	春节放鞭炮	我发现整这些没用的东西可有一套了，空气污染是过年这几天放鞭炮造成的吗？放鞭炮是主要原因吗？汽车排气污染，工业污染，取暖污染，哪个不比放鞭炮污染严重？现在的春节越来越没有年味了，传统节日弄得跟例行检查一样。还有那些圣母婊，滚远点别污染我眼睛。 |除夕夜多数...	FAVOR
59	春节放鞭炮	新春走基层：这样放鞭炮 环保又安全 今年春节，很多市民选购电子鞭炮替代传统烟花爆竹，既经济实惠、安全低碳，又不失节日的喜庆气氛。　　很多居民把鞭... http://t.cn/zYIaOtc	FAVOR
60	春节放鞭炮	#何以年味“浓”# 放鞭炮辞旧迎新，是春节传统习俗。近年来，随着“绿色”春节理念的深入人心，越来越多的人自觉减少或拒绝燃放烟花爆竹，文明环保过新年。 @四部微团队 @中国石化镇海炼化炼油四部 @中国石化镇海炼化	AGAINST
61	春节放鞭炮	春节不变的传统套路：走人户、吃嘎嘎、打麻将、睡懒觉、上坟烧香放鞭炮，安逸、好耍、也累哟。	NONE
62	春节放鞭炮	#太原春节禁炮#不放鞭炮让这样清洁工回家过年，政府出台哪一项举措会这么简单，我觉得更多的是为了环境考虑。没觉得大年初一早晨空气质量特别差吗？我爷爷有肺气肿，每每遇到那样的天气只能待在家里，稍微不舒服就要吸氧、用药。我们家三年不放炮，保护环境是为了自己啊。 |太原·富力...	AGAINST
63	春节放鞭炮	我其实有些不能明白的是，空气污染只是放鞭炮一种带来的么，砍树发林工厂排烟汽车尾气各种才占了大头吧，难不成你能把他们都禁了或者是都改成无污染的，这些都是每天都会产生的你不去改善，鞭炮只是逢年过节才放的为什么要禁，而且自古春节放鞭炮驱年兽，也没见古人禁鞭炮好伐	FAVOR
64	春节放鞭炮	小的时候过年放鞭炮，是过年最大的乐趣，经管对空气和城市卫生不好，但毕竟就那么几天，以往街上卖鞭炮的人比买鞭炮的都多，现在好像不流行了，流行环保春节，我一9岁的弟弟说，放不放都无所谓，孩子都不爱玩这个了，现在人观念变了，的确是环保了，可一点节日气氛都木有[懒得理你]	FAVOR
65	春节放鞭炮	我觉得春节不放鞭炮会更加失去年味。最好的办法是“谁污染谁治理”，自己家放完鞭炮自己扫干净就好了。这样子既简单省事又年味浓浓！	FAVOR
66	春节放鞭炮	绿色过年倡议少放鞭炮保空气 微博上掀起了一股“绿色过年”之风。环保知名人士都倡议，今年春节不放或少放烟花爆竹，过一个绿色的春节。同时号召大家把省下的鞭炮钱捐出来，给所在城市的环保组织购买监测仪。环境质量监测方面的专家也称，大量燃放烟花对空气质量及人体健康危害较大，建议市民少放。	AGAINST
67	春节放鞭炮	【北京送月饼全城大堵有感】政府应该下令，别在中秋送月饼了，油腻腻的又不吃。如果说是传统，那么春节放鞭炮也是传统，不是说禁也禁了？不送月饼了，省多少粮食，多少油，多少蛋黄，多少糖啊。	NONE
68	春节放鞭炮	【春节放鞭炮注意】1.小孩子要在父母的看护下放鞭炮；2.远离易燃易爆物品；3.安全放置后再燃放；4.尽量远离；5.过一会再走近。《时尚新娘》提醒您：除夕放鞭炮是我国的传统，我们在保持传统的同时尽量少燃放烟花爆竹，烟花对环境污染非常严重。燃放时一定要注意安全，不要让儿童靠近。	FAVOR
69	春节放鞭炮	@ 经视直播官方微博 春节来临，燃放烟花爆竹的噪音、硝烟、纸屑等污染环境，增加火灾隐患。积极提倡过一个低碳、环保、文明、祥和的春节，“拒绝雾霾，少放鞭炮”。不放“开门鞭”、“团圆鞭”。爱护环境、人人响应；少放鞭炮、从我做起。	AGAINST
70	春节放鞭炮	#不放鞭炮# 春节临近，小猫呼吁为环保大家最好不放鞭炮。最近常常有人在问过年买点什么比较赚钱，不少网友都说是烟花爆竹。其实小猫想提醒大家，不是随便一个人都能卖烟花爆竹的，没有齐全的证件销售是违法的哦过年习俗很多，何苦大家都就着烟花爆竹不放呢，贴窗花不也挺好的吗？http://t.cn/8FhLOJu	AGAINST
71	春节放鞭炮	对于春节是否放鞭炮，我的观点很明确：应该放，而且还要多放。原因很简单：节日就是一种传统文化，失去了传统文化中的象征符号，便失去了节日本源的意义，也就无从谈什么节日了。对于很多喜欢作秀或者自封道德楷模的2B来讲，环保是他们抵制鞭炮的理由，但我想知道，你们每次用的布标回收利用过没？	FAVOR
72	春节放鞭炮	安倍又要拜鬼，完全给中国领导添堵，还让不让人安心过年了，洪磊估计大年三十都在写抗议词！我抗议！我警告！别人是说了就干，干了不怕说！我们了！天天放空炮！春节不放鞭炮了，改放嘴炮了!呵呵!	FAVOR
73	春节放鞭炮	【今年春节不放鞭炮】为了保护环境减少污染，我今年春节不放烟花爆竹啦，有相同意愿的朋友转起来~~	AGAINST
74	春节放鞭炮	@金华日报_新闻现场 家庭举办联欢晚会、不放鞭炮也热闹、大家为治污捐钱……马年的春节被赋予了新的内容，在东阳市东阳江镇，不少村子今年的变化真的有点大。	AGAINST
75	春节放鞭炮	【城中村的元宵节】今天是元宵节，这里的常住居民开始了早晨起床放鞭炮的传统活动，标志着元宵节是春节的最后一个节日。而在大街小港人们脸上都充满着元宵节喜气洋洋的气息，遍满整座城中之城的城中村元宵节。	NONE
76	春节放鞭炮	既然是春节那就这个特殊的节日里就不要那么在乎PM2.5，这是个长期需要治理的问题，就现在来看春节放鞭炮已经是几千年的传统习俗。	FAVOR
77	春节放鞭炮	|小门神，虽然是动画，但不得不说满满地感动。刚过完春节，贴门神、写对联、放鞭炮。这些传统文化，不能丢。雾霾严重，怎么掌握好两者之间平衡，任重道远。刚好看到电影里的馄饨，下午去门口吃一顿 |镇江·龙吟...	FAVOR
78	春节放鞭炮	在中国的传统中，添置新物过新年历史由来已久，跟贴春联、放鞭炮一样，是节日喜庆中不可缺少的部分。今年春节你会添置什么新东西呢？聊聊吧	FAVOR
79	春节放鞭炮	#健康过春节#【微倡议：今年春节不放或少放鞭炮】春节将至，放鞭炮是我们过年传统的文化。但是鞭炮在给人们带来了喜庆的同时，被其炸伤的危险也随之而来。春节的快乐其实可以通过很多方式获得。提出倡议：今年春节不放或少放鞭炮，用健康的方式过春节！如果你同意请转发给更多人！	AGAINST
80	春节放鞭炮	#你怎么看春节放鞭炮#【下水道放鞭炮炸飞熊孩子好几米 春节放鞭炮需谨慎 】日前，襄阳市樊城区的一个小区里，有两个10岁左右的小孩就在燃放擦炮时突发奇想，把擦炮丢到下水道中，没想到惹出大祸。小孩子被炸飞了好几米，脸部挫伤。所幸两名受伤的小孩已被送往医院治疗，无生命危险http://t.cn/8FVBf84	AGAINST
81	春节放鞭炮	春节不放鞭炮，哪里来的热闹。如果要讲环保，大家不如把自己的汽车砸掉。	FAVOR
82	春节放鞭炮	春节不放鞭炮_上海地方站_新浪网 你tmd的不去关厂整顿，却来计较一年一次的烟花爆竹。人渣，扑街。。。 http://t.cn/8FxbozZ	FAVOR
83	春节放鞭炮	我个人赞成禁放鞭炮。 【湖北宜昌多部门拍组照呼吁春节不放鞭炮】 http://t.cn/Rw29RLm @新浪新闻客户端	AGAINST
84	春节放鞭炮	2014年春节慢慢临近，这个春节你真的还想放鞭炮和烟花吗？城区PM2.5指数居高不下，隔三差五连呼吸都让人担惊受怕，满城尽是“雾霾”……这个春节，咱不放鞭炮如何？年味或许变淡，空气肯定变好，聪明的你会怎么选择？	AGAINST
85	春节放鞭炮	新年快到了，接着是春节。每年此时为了春节放鞭炮，各地厂家就会开始生产。今年又会如何?今年人们对雾霾的反感空前高涨。今年春节还会大放鞭炮吗？国家还会准许生产吗？春节放鞭炮的禁止否，已经反复争论了好几年。“公共场所禁烟”不是人大都立法了吗？我们等待着今年的共识。	NONE
86	春节放鞭炮	大年初一零时放鞭炮是中国的传统节日春节的重头戏。小孩太小，这几年都是在房间听鞭炮声……感觉依然很好！说句老土的话，祝大家新年如意！ 我在:|017县道	FAVOR
87	春节放鞭炮	2014年离我们越来越近了。让快乐陪伴，让幸福相随。用更新的方式取代传统的做法，为子孙万代幸福，让蓝天成为常态，让人们远离雾霾的困扰，建议巿民们春节不放鞭炮，为大家为自己尽绵薄之力。	AGAINST
88	春节放鞭炮	我不喜欢问汽油味就可以要求所有人都不开车了吗？知道春节为什么要放鞭炮吗，不知道回去看看给儿童看的科普视频。//@俺冻xi:你喜欢闻硫磺味儿喜欢睡觉被吵醒不代表别人也喜欢，你要在家自己放别影响我，我也不会管你//【鞭炮这种巫术必须从春节传统里开除了】 http://t.cn/RZnjxnm	FAVOR
89	春节放鞭炮	#低碳过新年 安全每一天#春节临近，物业公司团委2月5日召开节前工组会，通过与会团干部向全体青年发出 “低碳过新年 安全每一天”倡议，呼吁大家不放少放鞭炮，过一个环保安全的新春佳节。下午@京煤物业绿海团支部 即响应号召制作了告员工一封信在单位内部发放,获得了同事认可。@百万青工岗位建功行动	AGAINST
90	春节放鞭炮	多年后，也许我们的后代只有在回顾大师们的名作时才知道原来春节有个传统叫做放鞭炮。	FAVOR
91	春节放鞭炮	放鞭炮，放烟火是春节的传统，迎财神的日子自然少不了放鞭炮。过去大家也同样放，物还是原来的物，事还是原来的事，人还是原来的人，过去没有污染，现在是严重超标，财神爷还能看清是谁在迎接他呢？	FAVOR
92	春节放鞭炮	按PM2.5立法的节奏，春节放鞭炮基本属于集体违下法了。要不咱改放...风筝？算是爱地球吧！	FAVOR
93	春节放鞭炮	我不想过多的说教，如果我从此永远不放，你会永远不来吗？我小的时候，过春节的鞭炮声，现在看来是催人泪下的。如果你觉得委屈，你可以不干，但我在我的家乡，过春节放鞭炮都要听你们丫说三道四的，我也委屈，我冲谁说？	FAVOR
94	春节放鞭炮	#国奥村环保#在刚刚过去的一月份，重庆雾霾天气过半，达到17天。新春佳节，不计其数的人将同时燃放烟花爆竹，浓厚烟尘将笼罩整个山城上空。新浪微博“春节少放炮”这个微话题已有830多万人参与讨论，其中不少重庆人在倡议：过年少放或者不放烟花爆竹，国奥村倡议：春节有雾霾，别放鞭炮了吧。	AGAINST
95	春节放鞭炮	整天都说什么文明祭扫...我一直觉得点点蜡烛、烧烧纸钱、放放鞭炮怎么就不文明了？千年的传统怎么就不文明了...就像春节一样，没有烟花炮竹哪有气氛呢...还有什么网上祭扫，都在家点点鼠标以后连祖先的墓地在哪都不知道了...	FAVOR
96	春节放鞭炮	我反对不放鞭炮，绿色过年~烟花可以不放，鞭炮一定要放！！可以少放，不能不放！！环境保护就指望春节这两天？中国文化本来就被大家遗忘殆尽~你再来用治标不治本的方法将春节的乐趣一一剥夺~NO~就NO~！春节不放鞭炮，就好像吃饺子不沾蒜泥~木滋拉味的	FAVOR
97	春节放鞭炮	我都不明白为什么这样的素质还能当音乐电台主持人，春节放鞭炮是中国五千年的传统，不仅仅是传统还是一种文化的传承。你居然这样抨击人家，你简直是给中国人丢脸，给佛山人抹黑。。。。 |广州·广花	FAVOR
98	春节放鞭炮	春节不放鞭炮就不污染环境了，靠，工业污染你屁都不放一个，东湖你看看成什么了，千湖之省，尼玛现在还有几个~这你都不说，说什么春节不放鞭炮~靠、、、、、	FAVOR
99	春节放鞭炮	#公告#【关于春节期间新安江城区销售燃放烟花爆竹的通告】还有9天就是春节，放鞭炮一直是我们中国庆祝新春佳节的传统习俗，不过大家在庆祝佳节时，也要遵守规则哦~烟花爆竹的销售和燃放时间，都是有明确的限制的。燃放时间为2015年2月18日至2月25日，戳图了解↓↓↓	FAVOR
100	春节放鞭炮	我评论了新闻【上海春节外环线内基本零燃放 最严禁燃令初五迎考验】：我不赞同一刀切式的条款，过年不放鞭炮不像过年，政府说什么就是什么，我们老百姓还能怎么说？ http://t.cn/RGta8Fc	FAVOR
101	春节放鞭炮	年在古代是怪兽，劳动人民燃放鞭炮来驱怪兽，都是几千年的传统了，不放鞭炮还过个毛的年，干脆把春节取消算了，省的为了过个所谓的年还把人折腾得累个半死。 |除夕夜多数...	FAVOR
102	春节放鞭炮	#不放开门炮# 沈阳爱尔眼科医院，积极响应市政府号召，今天春节不放鞭炮，拒绝雾霾，保卫我们的城市，保护我们的一片蓝天！http://t.cn/8FGnCSW	AGAINST
103	春节放鞭炮	#义工联陪你过春节#在中国的传统中,过新年穿新衣的历史由来已久,它和舞龙、舞狮、敲锣打鼓、贴春联、放鞭炮、挂灯笼一样，是节日喜庆中不可缺少的部分，多姿多彩的春节新衣，把节日的气氛烘托得更加浓烈、更加美好。广州义工联官方微博也换新衣了，装扮过年的气氛，祝福大家蛇年新气象，好运节节高	FAVOR
